Economy,Code,Code to GeoJSON,Region,Income group,Lending category,Other (EMU or HIPC)
Aruba,ABW,ABW,Latin America & Caribbean,High income,,
Afghanistan,AFG,AFG,South Asia,Low income,IDA,HIPC
Angola,AGO,AGO,Sub-Saharan Africa,Lower middle income,IBRD,
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,IBRD,
Andorra,AND,AND,Europe & Central Asia,High income,,
United Arab Emirates,ARE,ARE,Middle East & North Africa,High income,,
Argentina,ARG,ARG,Latin America & Caribbean,Upper middle income,IBRD,
Armenia,ARM,ARM,Europe & Central Asia,Upper middle income,IBRD,
American Samoa,ASM,ASM,East Asia & Pacific,Upper middle income,,
Antigua and Barbuda,ATG,ATG,Latin America & Caribbean,High income,IBRD,
Australia,AUS,AUS,East Asia & Pacific,High income,,
Austria,AUT,AUT,Europe & Central Asia,High income,,EMU
Azerbaijan,AZE,AZE,Europe & Central Asia,Upper middle income,IBRD,
Burundi,BDI,BDI,Sub-Saharan Africa,Low income,IDA,HIPC
Belgium,BEL,BEL,Europe & Central Asia,High income,,EMU
Benin,BEN,BEN,Sub-Saharan Africa,Lower middle income,IDA,HIPC
Burkina Faso,BFA,BFA,Sub-Saharan Africa,Low income,IDA,HIPC
Bangladesh,BGD,BGD,South Asia,Lower middle income,IDA,
Bulgaria,BGR,BGR,Europe & Central Asia,Upper middle income,IBRD,
Bahrain,BHR,BHR,Middle East & North Africa,High income,,
"Bahamas, The",BHS,BHS,Latin America & Caribbean,High income,,
Bosnia and Herzegovina,BIH,BIH,Europe & Central Asia,Upper middle income,IBRD,
Belarus,BLR,BLR,Europe & Central Asia,Upper middle income,IBRD,
Belize,BLZ,BLZ,Latin America & Caribbean,Lower middle income,IBRD,
Bermuda,BMU,BMU,North America,High income,,
Bolivia,BOL,BOL,Latin America & Caribbean,Lower middle income,IBRD,HIPC
Brazil,BRA,BRA,Latin America & Caribbean,Upper middle income,IBRD,
Barbados,BRB,BRB,Latin America & Caribbean,High income,,
Brunei Darussalam,BRN,BRN,East Asia & Pacific,High income,,
Bhutan,BTN,BTN,South Asia,Lower middle income,IDA,
Botswana,BWA,BWA,Sub-Saharan Africa,Upper middle income,IBRD,
Central African Republic,CAF,CAF,Sub-Saharan Africa,Low income,IDA,HIPC
Canada,CAN,CAN,North America,High income,,
Switzerland,CHE,CHE,Europe & Central Asia,High income,,
Channel Islands,CHI,CHI,Europe & Central Asia,High income,,
Chile,CHL,CHL,Latin America & Caribbean,High income,IBRD,
China,CHN,CHN,East Asia & Pacific,Upper middle income,IBRD,
Côte d'Ivoire,CIV,CIV,Sub-Saharan Africa,Lower middle income,IDA,HIPC
Cameroon,CMR,CMR,Sub-Saharan Africa,Lower middle income,Blend,HIPC
"Congo, Dem. Rep.",COD,COD,Sub-Saharan Africa,Low income,IDA,HIPC
"Congo, Rep.",COG,COG,Sub-Saharan Africa,Lower middle income,Blend,HIPC
Colombia,COL,COL,Latin America & Caribbean,Upper middle income,IBRD,
Comoros,COM,COM,Sub-Saharan Africa,Lower middle income,IDA,HIPC
Cabo Verde,CPV,CPV,Sub-Saharan Africa,Lower middle income,Blend,
Costa Rica,CRI,CRI,Latin America & Caribbean,Upper middle income,IBRD,
Cuba,CUB,CUB,Latin America & Caribbean,Upper middle income,,
Curaçao,CUW,CUW,Latin America & Caribbean,High income,,
Cayman Islands,CYM,CYM,Latin America & Caribbean,High income,,
Cyprus,CYP,CYP,Europe & Central Asia,High income,,EMU
Czech Republic,CZE,CZE,Europe & Central Asia,High income,,
Germany,DEU,DEU,Europe & Central Asia,High income,,EMU
Djibouti,DJI,DJI,Middle East & North Africa,Lower middle income,IDA,
Dominica,DMA,DMA,Latin America & Caribbean,Upper middle income,Blend,
Denmark,DNK,DNK,Europe & Central Asia,High income,,
Dominican Republic,DOM,DOM,Latin America & Caribbean,Upper middle income,IBRD,
Algeria,DZA,DZA,Middle East & North Africa,Lower middle income,IBRD,
Ecuador,ECU,ECU,Latin America & Caribbean,Upper middle income,IBRD,
"Egypt, Arab Rep.",EGY,EGY,Middle East & North Africa,Lower middle income,IBRD,
Eritrea,ERI,ERI,Sub-Saharan Africa,Low income,IDA,HIPC
Spain,ESP,ESP,Europe & Central Asia,High income,,EMU
Estonia,EST,EST,Europe & Central Asia,High income,,EMU
Ethiopia,ETH,ETH,Sub-Saharan Africa,Low income,IDA,HIPC
Finland,FIN,ALA,Europe & Central Asia,High income,,EMU
Fiji,FJI,FJI,East Asia & Pacific,Upper middle income,Blend,
France,FRA,FRA,Europe & Central Asia,High income,,EMU
Faroe Islands,FRO,FRO,Europe & Central Asia,High income,,
"Micronesia, Fed. Sts.",FSM,FSM,East Asia & Pacific,Lower middle income,IDA,
Gabon,GAB,GAB,Sub-Saharan Africa,Upper middle income,IBRD,
United Kingdom,GBR,GBR,Europe & Central Asia,High income,,
Georgia,GEO,GEO,Europe & Central Asia,Upper middle income,IBRD,
Ghana,GHA,GHA,Sub-Saharan Africa,Lower middle income,IDA,HIPC
Gibraltar,GIB,GIB,Europe & Central Asia,High income,,
Guinea,GIN,GIN,Sub-Saharan Africa,Low income,IDA,HIPC
"Gambia, The",GMB,GMB,Sub-Saharan Africa,Low income,IDA,HIPC
Guinea-Bissau,GNB,GNB,Sub-Saharan Africa,Low income,IDA,HIPC
Equatorial Guinea,GNQ,GNQ,Sub-Saharan Africa,Upper middle income,IBRD,
Greece,GRC,GRC,Europe & Central Asia,High income,,EMU
Grenada,GRD,GRD,Latin America & Caribbean,Upper middle income,Blend,
Greenland,GRL,GRL,Europe & Central Asia,High income,,
Guatemala,GTM,GTM,Latin America & Caribbean,Upper middle income,IBRD,
Guam,GUM,GUM,East Asia & Pacific,High income,,
Guyana,GUY,GUY,Latin America & Caribbean,Upper middle income,IDA,HIPC
"Hong Kong SAR, China",HKG,HKG,East Asia & Pacific,High income,,
Honduras,HND,HND,Latin America & Caribbean,Lower middle income,IDA,HIPC
Croatia,HRV,HRV,Europe & Central Asia,High income,IBRD,
Haiti,HTI,HTI,Latin America & Caribbean,Lower middle income,IDA,HIPC
Hungary,HUN,HUN,Europe & Central Asia,High income,,
Indonesia,IDN,IDN,East Asia & Pacific,Lower middle income,IBRD,
Isle of Man,IMN,IMN,Europe & Central Asia,High income,,
India,IND,IND,South Asia,Lower middle income,IBRD,
Ireland,IRL,IRL,Europe & Central Asia,High income,,EMU
"Iran, Islamic Rep.",IRN,IRN,Middle East & North Africa,Lower middle income,IBRD,
Iraq,IRQ,IRQ,Middle East & North Africa,Upper middle income,IBRD,
Iceland,ISL,ISL,Europe & Central Asia,High income,,
Israel,ISR,ISR,Middle East & North Africa,High income,,
Italy,ITA,ITA,Europe & Central Asia,High income,,EMU
Jamaica,JAM,JAM,Latin America & Caribbean,Upper middle income,IBRD,
Jordan,JOR,JOR,Middle East & North Africa,Upper middle income,IBRD,
Japan,JPN,JPN,East Asia & Pacific,High income,,
Kazakhstan,KAZ,KAZ,Europe & Central Asia,Upper middle income,IBRD,
Kenya,KEN,KEN,Sub-Saharan Africa,Lower middle income,Blend,
Kyrgyz Republic,KGZ,KGZ,Europe & Central Asia,Lower middle income,IDA,
Cambodia,KHM,KHM,East Asia & Pacific,Lower middle income,IDA,
Kiribati,KIR,KIR,East Asia & Pacific,Lower middle income,IDA,
